iderroservico;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;conteudo;atendido;resolucao_erro;corrigido_erro;data_criacao_erro;data_atualizacao_erro
909dd77d-614e-4702-820c-70fc688adfa9;1506;Solicitar autorização ambiental para manejo de fauna ex situ;solicitar-autorizacao-ambiental-para-manejo-de-fauna-ex-situ185;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;"A logomarca apresentada nesta página, no link http://licenciamento.imasul.ms.gov.br/licenciamento-simplificado/#/login está ERRADA! 
Peço a gentileza de substituí-la pela logomarca correta.

Atenciosamente,

Eliane Ribeiro
Chefe da Unidade de Planejamento e Projetos
Instituto de Meio Ambiente de Mato Grosso do Sul
3318-6011no link está ERRADA!";False;;False;2026-05-05 09:28:27.992053-04:00;2026-05-05 09:28:27.992065-04:00
2c57f949-690a-4eb2-ba33-6c97a001ddfa;800;Solicitar autorização ambiental para a pesca amadora e/ou desportiva;emissao-de-autorizacoes-ambientais-para-a-pesca-amadora116;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;"A logomarca apresentada nesta página está ERRADA! 
Peço a gentileza de substituí-la pela logomarca correta.

Atenciosamente,

Eliane Ribeiro
Chefe da Unidade de Planejamento e Projetos
Instituto de Meio Ambiente de Mato Grosso do Sul
3318-6011";False;;False;2026-05-05 09:22:21.001833-04:00;2026-05-05 09:22:21.001843-04:00
755fb87d-51f6-4ac2-95b5-42ead3239f0d;1153;Solicitar atendimento no Procon/MS;solicitar-atendimento-no-proconms97;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;Reclamar da energisa;False;;False;2026-05-04 18:08:15.477128-04:00;2026-05-04 18:08:15.477138-04:00
bc8772a7-0b8c-4782-9e25-6c415f35430e;801;Solicitar autorização ambiental para pesca profissional;emissao-de-autorizacoes-ambientais-para-a-pesca-profissional86;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;FAVOR INSERIR A RESOLUÇÃO SEMAC Nº 3, DE 28 DE FEVEREIRO DE 2011, COM AS ALTERAÇÕES DA RESOLUÇÃO SEMAC nº 022, DE 25 DE AGOSTO DE 2011.;False;;False;2026-05-04 13:47:13.648669-04:00;2026-05-04 13:47:13.648682-04:00
6c409447-dced-434d-a007-f17b6cbecba1;801;Solicitar autorização ambiental para pesca profissional;emissao-de-autorizacoes-ambientais-para-a-pesca-profissional86;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;FAVOR RETIRAR A RESOLUÇÃO SEMADE Nº 15, DE 14 DE JULHO DE 2015.JÁ FOI REVOGADA.;False;;False;2026-05-04 13:43:09.017132-04:00;2026-05-04 13:43:09.017142-04:00
2d0934b6-513c-4ce6-81f9-2ceb3c56e725;801;Solicitar autorização ambiental para pesca profissional;emissao-de-autorizacoes-ambientais-para-a-pesca-profissional86;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;FAVOR RETIRAR A RESOLUÇÃO SEMADE Nº 15, DE 14 DE JULHO DE 2015.JÁ FOI REVOGADA.;False;;False;2026-05-04 13:42:43.952543-04:00;2026-05-04 13:42:43.952566-04:00
989eb1e9-e279-4138-a4b2-4fa350898a16;257;Solicitar carteira de identificação por nome social - CNS;solicitar-carteira-de-identificacao-por-nome-social-cns171;direitos-e-cidadania;SEC;Secretaria de Estado da Cidadania;Eu sou natural de Salvador-Ba. E fica aparecendo outra localização avenida Ceará.;False;;False;2026-05-04 11:34:56.492889-04:00;2026-05-04 11:34:56.492901-04:00
b70717e9-bb4a-4680-b514-25c48f152570;803;Solicitar licença ambiental;licenciamento-ambiental36;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;portal nao entra;False;;False;2026-05-04 09:15:16.999333-04:00;2026-05-04 09:15:16.999345-04:00
9d560b4c-f6a9-44fe-ab93-f25a90d08e98;356;Cadastrar às vagas de emprego;intermediacao-de-empregos7;trabalho-emprego-e-previdencia;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;"Site confuso...quando entra o site e vai na area de vagas abre uma aba, onde o leigo fica procurando o que deseja, não esta claro pra ele acessar a parte de vagas de forma facil...
Favor corrigir

Emerson
Consultor de TI";False;;False;2026-05-03 15:23:06.456288-04:00;2026-05-03 15:23:06.456301-04:00
69b4044b-f3cf-43d0-bde3-067543729634;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Não consigo fazer agendamento.;False;;False;2026-05-02 15:17:58.888762-04:00;2026-05-02 15:17:58.888774-04:00
9745e38f-4dd4-4428-8a5e-e672e6f18ee3;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;nao consgio retirar certidão criminais.;False;;False;2026-05-02 08:59:44.068350-04:00;2026-05-02 08:59:44.068363-04:00
a269ea96-8ef6-47c7-b997-477d32d42f62;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Erro de sistema ao tentar agendar.;False;;False;2026-05-01 13:49:17.615068-04:00;2026-05-01 13:49:17.615080-04:00
953f2714-dd15-499b-89de-533113dd4f87;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;Nao consigo anexar data de nascimento;False;;False;2026-05-01 12:30:57.534188-04:00;2026-05-01 12:30:57.534198-04:00
4dd9a284-260a-4f82-866c-b424ced12c4d;356;Cadastrar às vagas de emprego;intermediacao-de-empregos7;trabalho-emprego-e-previdencia;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;Quero olhar as vagas disponíveis não estou conseguindo??;False;;False;2026-04-30 18:49:17.894948-04:00;2026-04-30 18:49:17.894959-04:00
d66cc33a-168e-4fb8-abcd-1b99f6414aee;248;Solicitar de apoio e orientação às organizações da sociedade civil;solicitacao-de-apoio-e-orientacao-as-organizacoes-da-sociedade-civil1;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;Considero interessante constar que cada ente público regulamentou a Lei 13.019/2026.;False;;False;2026-04-30 15:19:57.844059-04:00;2026-04-30 15:19:57.844070-04:00
b8b365cb-4ef0-41c9-8af3-ecc6e0e46f59;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;Eu juntamente com minha esposa queremos fazer o Novo RG no fácil do shopping bosque dos ipês, porém não tem vaga,,haja vista que nesse shopping bosque dos ipês e pouco movimento ou seja o servidor iria nos atender bem rápido e no centro da cidade tem agenda aberta porém longe de casa e lotado,, isso e revoltante mesmo, bom dia.;False;;False;2026-04-30 07:12:27.615627-04:00;2026-04-30 07:12:27.615645-04:00
42a88b47-7074-4067-ab94-26f78baa9376;1029;e-Fazenda - cadastro;portal-e-fazenda-cadastro135;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;"EU PRECISAVA EMITIR UMA GUIA TA DAEMS, DA EMPRESA CNPJ 03 626 970 0001-95 localizada no RS, e 
acabei fazendo um cadastro na sefazMS, como eu faço para cancelar esse cadastro?";False;;False;2026-04-29 07:28:46.797094-04:00;2026-04-29 07:28:46.797106-04:00
7758c116-26e3-486f-97e2-e978dd29e263;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;CPF diz que está errado;False;;False;2026-04-29 06:33:49.165704-04:00;2026-04-29 06:33:49.165716-04:00
a8b279fa-ef64-4d93-83c7-3e6f23e38b0b;1152;Solicitar bloqueio de ligação de telemarketing;solicitar-bloqueio-de-ligacao-de-telemaketing22;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;Gostaria que o tivesse servico  para o estado de Sao Paulo;False;;False;2026-04-28 17:51:58.236048-04:00;2026-04-28 17:51:58.236061-04:00
ddc40983-28de-4e03-bc86-840cc8cfeaee;462;Solicitar inscrição para participação nos programas habitacionais;inscricaocadastro67;habitacao;AGEHAB;Agência de Habitação Popular de Mato Grosso do Sul;Preciso tirar o cônjuge e não estou conseguindo moro sozinha com meus 3 filhos;False;;False;2026-04-28 13:47:27.497980-04:00;2026-04-28 13:47:27.497991-04:00
0434ffaf-13cd-4b1e-a24c-a359942bba29;755;Pedir Renovação da Carteira Nacional de Habilitação - CNH;emissao-da-carteira-nacional-de-habilitacao174;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Precisa de informações mais claras sobre a CNH, principalmente sobre as aulas (práticas e teóricas).;False;;False;2026-04-28 10:36:43.140113-04:00;2026-04-28 10:36:43.140125-04:00
097e2f27-b61c-4aad-a289-f70d514a3c1b;1434;Receber apoio para emitir o contracheque (aposentado ou pensionista);receber-apoio-para-emitir-o-contracheque-aposentado-ou-pensionista12;trabalho-emprego-e-previdencia;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;Não aparece identificação do Estado e o sistema me lança no MS. Sou da Bahia!!!;False;;False;2026-04-28 10:36:14.709726-04:00;2026-04-28 10:36:14.709740-04:00
31cde814-d9a9-41c7-89c6-0bdaeca514e1;1161;Solicitar licença de aprendizagem de direção veicular - LADV;solicitaremitir-licenca-de-aprendizagem-de-direcao-veicular-ladv2;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Queria apenas imprimir ou baixar a ladv e não soube como fazer pois não e tão fácil como parece, pois pede por um Detran, e eu estou fazendo através da auto escola, e não tem esse sugestão;False;;False;2026-04-28 07:53:57.096546-04:00;2026-04-28 07:53:57.096564-04:00
b123a5a2-3ba8-402d-8213-7be6b0ed8191;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;unidade de agendamento indisponivel;False;;False;2026-04-27 08:37:11.726326-04:00;2026-04-27 08:37:11.726338-04:00
341db6b2-1033-4b60-a8ab-e4d137f25614;1457;Emitir, no formato digital, a Carteira de Identificação da Pessoa com Transtorno do Espectro Autista;emitir-no-formato-digital-a-carteira-de-identificacao-da-pessoa-com-transtorno-do-espectro-autista63;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;"No ciptea esta com problema ao subir arquivos, na area de fotos. documentos 

https://ciptea.ms.gov.br/formulario

7-99baa6d5820e53be.js:1  GET https://gw.sgi.ms.gov.br/k0998/cipteawebapi/v1/DocumentoBeneficiario/getbybeneficiarioid net::ERR_NAME_NOT_RESOLVED
(anonymous) @ 7-99baa6d5820e53be.js:1
await in (anonymous)
x @ 7-99baa6d5820e53be.js:1
x @ formulario-b21eed4919baf54b.js:1
(anonymous) @ formulario-b21eed4919baf54b.js:1
(anonymous) @ formulario-b21eed4919baf54b.js:1
uI @ framework-18c7e6fcf99e5daa.js:9
oU @ framework-18c7e6fcf99e5daa.js:9
oC @ framework-18c7e6fcf99e5daa.js:9
r4 @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
oI @ framework-18c7e6fcf99e5daa.js:9
oS @ framework-18c7e6fcf99e5daa.js:9
x @ framework-18c7e6fcf99e5daa.js:33
T @ framework-18c7e6fcf99e5daa.js:33
postMessage
u @ framework-18c7e6fcf99e5daa.js:33
M @ framework-18c7e6fcf99e5daa.js:33
n.unstable_scheduleCallback @ framework-18c7e6fcf99e5daa.js:33
ow @ framework-18c7e6fcf99e5daa.js:9
ok @ framework-18c7e6fcf99e5daa.js:9
aG @ framework-18c7e6fcf99e5daa.js:9
$ @ 636-3ed963cf619fe58d.js:5
C.<computed> @ 636-3ed963cf619fe58d.js:5
(anonymous) @ 636-3ed963cf619fe58d.js:5
J @ 636-3ed963cf619fe58d.js:5
(anonymous) @ 636-3ed963cf619fe58d.js:5
ei @ 636-3ed963cf619fe58d.js:5
el @ 636-3ed963cf619fe58d.js:5
ep.<computed> @ 636-3ed963cf619fe58d.js:5
(anonymous) @ formulario-b21eed4919baf54b.js:1
Promise.then
ef @ formulario-b21eed4919baf54b.js:1
(anonymous) @ formulario-b21eed4919baf54b.js:1
Promise.then
er @ formulario-b21eed4919baf54b.js:1
onClick @ formulario-b21eed4919baf54b.js:1
(anonymous) @ 378-5d7687e770abe7b2.js:1
eU @ framework-18c7e6fcf99e5daa.js:9
eH @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
re @ framework-18c7e6fcf99e5daa.js:9
rn @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
oP @ framework-18c7e6fcf99e5daa.js:9
eF @ framework-18c7e6fcf99e5daa.js:9
ro @ framework-18c7e6fcf99e5daa.js:9
nU @ framework-18c7e6fcf99e5daa.js:9
nD @ framework-18c7e6fcf99e5daa.js:9Understand this error
7-99baa6d5820e53be.js:1  POST https://gw.sgi.ms.gov.br/k0998/cipteawebapi/v1/DocumentoBeneficiario?tipoDocumentoID=1 net::ERR_NAME_NOT_RESOLVED
(anonymous) @ 7-99baa6d5820e53be.js:1
await in (anonymous)
x @ 7-99baa6d5820e53be.js:1
C @ formulario-b21eed4919baf54b.js:1
customRequest @ formulario-b21eed4919baf54b.js:1
value @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
Promise.then
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
r @ 378-5d7687e770abe7b2.js:31
l @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
r @ 378-5d7687e770abe7b2.js:31
l @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 229-6452c202868e21cb.js:21
eU @ framework-18c7e6fcf99e5daa.js:9
eH @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
re @ framework-18c7e6fcf99e5daa.js:9
rn @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
oP @ framework-18c7e6fcf99e5daa.js:9
eF @ framework-18c7e6fcf99e5daa.js:9
ro @ framework-18c7e6fcf99e5daa.js:9
nU @ framework-18c7e6fcf99e5daa.js:9
nD @ framework-18c7e6fcf99e5daa.js:9Understand this error
7-99baa6d5820e53be.js:1  Uncaught (in promise) TypeError: Failed to fetch
    at 7-99baa6d5820e53be.js:1:23630
(anonymous) @ 7-99baa6d5820e53be.js:1
await in (anonymous)
x @ 7-99baa6d5820e53be.js:1
x @ formulario-b21eed4919baf54b.js:1
(anonymous) @ formulario-b21eed4919baf54b.js:1
(anonymous) @ formulario-b21eed4919baf54b.js:1
uI @ framework-18c7e6fcf99e5daa.js:9
oU @ framework-18c7e6fcf99e5daa.js:9
oC @ framework-18c7e6fcf99e5daa.js:9
r4 @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
oI @ framework-18c7e6fcf99e5daa.js:9
oS @ framework-18c7e6fcf99e5daa.js:9
x @ framework-18c7e6fcf99e5daa.js:33
T @ framework-18c7e6fcf99e5daa.js:33
postMessage
u @ framework-18c7e6fcf99e5daa.js:33
M @ framework-18c7e6fcf99e5daa.js:33
n.unstable_scheduleCallback @ framework-18c7e6fcf99e5daa.js:33
ow @ framework-18c7e6fcf99e5daa.js:9
ok @ framework-18c7e6fcf99e5daa.js:9
aG @ framework-18c7e6fcf99e5daa.js:9
$ @ 636-3ed963cf619fe58d.js:5
C.<computed> @ 636-3ed963cf619fe58d.js:5
(anonymous) @ 636-3ed963cf619fe58d.js:5
J @ 636-3ed963cf619fe58d.js:5
(anonymous) @ 636-3ed963cf619fe58d.js:5
ei @ 636-3ed963cf619fe58d.js:5
el @ 636-3ed963cf619fe58d.js:5
ep.<computed> @ 636-3ed963cf619fe58d.js:5
(anonymous) @ formulario-b21eed4919baf54b.js:1
Promise.then
ef @ formulario-b21eed4919baf54b.js:1
(anonymous) @ formulario-b21eed4919baf54b.js:1
Promise.then
er @ formulario-b21eed4919baf54b.js:1
onClick @ formulario-b21eed4919baf54b.js:1
(anonymous) @ 378-5d7687e770abe7b2.js:1
eU @ framework-18c7e6fcf99e5daa.js:9
eH @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
re @ framework-18c7e6fcf99e5daa.js:9
rn @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
oP @ framework-18c7e6fcf99e5daa.js:9
eF @ framework-18c7e6fcf99e5daa.js:9
ro @ framework-18c7e6fcf99e5daa.js:9
nU @ framework-18c7e6fcf99e5daa.js:9
nD @ framework-18c7e6fcf99e5daa.js:9Understand this error
7-99baa6d5820e53be.js:1  Uncaught (in promise) TypeError: Failed to fetch
    at 7-99baa6d5820e53be.js:1:23630
(anonymous) @ 7-99baa6d5820e53be.js:1
await in (anonymous)
x @ 7-99baa6d5820e53be.js:1
C @ formulario-b21eed4919baf54b.js:1
customRequest @ formulario-b21eed4919baf54b.js:1
value @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
Promise.then
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
r @ 378-5d7687e770abe7b2.js:31
l @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 229-6452c202868e21cb.js:21
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
r @ 378-5d7687e770abe7b2.js:31
l @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 378-5d7687e770abe7b2.js:31
(anonymous) @ 229-6452c202868e21cb.js:21
eU @ framework-18c7e6fcf99e5daa.js:9
eH @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
re @ framework-18c7e6fcf99e5daa.js:9
rn @ framework-18c7e6fcf99e5daa.js:9
(anonymous) @ framework-18c7e6fcf99e5daa.js:9
oP @ framework-18c7e6fcf99e5daa.js:9
eF @ framework-18c7e6fcf99e5daa.js:9
ro @ framework-18c7e6fcf99e5daa.js:9
nU @ framework-18c7e6fcf99e5daa.js:9
nD @ framework-18c7e6fcf99e5daa.js:9Understand this error
2background-redux-new.js:2 Error: Invalid frameId for foreground frameId: 0
    at le (background-redux-new.js:2:9576358)
    at p (background-redux-new.js:2:9643653)
    at background-redux-new.js:2:9644653";True;"Não foi preenchido com as informações necessárias para a análise da solicitação; dessa forma, não é possível dar andamento ao atendimento.";True;2026-04-24 17:29:34.705157-04:00;2026-04-27 09:04:18.823257-04:00
58d6bbc2-ffa6-499b-b2fd-4e4fd2100cdc;1093;Solicitar caravana da castração;caravana-da-castracao-servico-a-ser-oferecido-a-partir-de-novembro202454;direitos-e-cidadania;SETESC;Secretaria de Estado de Turismo, Esporte e Cultura;Não estou conseguindo colocar a cidade que quero fazer a castração do meu gat9 como faço?;False;;False;2026-04-24 15:07:02.038143-04:00;2026-04-24 15:07:02.038157-04:00
f19af286-d4b1-4e73-9029-4425c63156f2;1092;Solicitar agendamento do Cine Pet;cine-pet158;esporte-e-lazer;SETESC;Secretaria de Estado de Turismo, Esporte e Cultura;Não consigo selecionar a unidade;False;;False;2026-04-23 07:00:25.878160-04:00;2026-04-23 07:00:25.878171-04:00
23973778-1ace-407b-a593-e9479e0bc4ab;1020;IPVA - consulta de débito;ipva-consulta-de-debito54;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;NÃO ABRE O LINK PARA GERAR O BOLETO;True;"O link foi conferido e está correto.
Provavelmente o erro foi momentâneo devido a algum problema técnico, que já foi resolvido.";True;2026-04-23 06:59:23.664196-04:00;2026-04-27 08:04:03.574295-04:00
67ecda4a-30f1-49b7-a2f7-a7c50584bc91;670;Solicitar consulta e empréstimo de publicações, periódicos, livros e obras raras do acervo da biblioteca estadual;solicitar-consulta-e-emprestimo-de-publicacoes-periodicos-livros-e-obras-raras-do-acervo-da-biblioteca-estadual14;educacao-e-pesquisa;FCMS;Fundação de Cultura de Mato Grosso do Sul;Empréstimo;False;;False;2026-04-22 20:13:26.643503-04:00;2026-04-22 20:13:26.643516-04:00
862611c0-ac09-46c4-852c-576142dfe607;1035;Procuração digital para acesso ao e-Fazenda - cadastro de procurador/representante legal em caso de incapacidade, espólio e demanda judicial;procuracao-digital-para-acesso-ao-e-fazenda-cadastro-de-procuradorrepresentante-legal-em-caso-de-incapacidade-espolio-e-demanda-judicial62;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Cai em golpe quero cancelar;True;"Erro não relacionado à Carta de Serviços.
Usuário não deixa claro o que deseja cancelar.
Caso deseje cancela uma e-procuração concedida, o processo deve ser realizado no próprio módulo ""e-Procuração"" utilizado para conceder a procuração;";True;2026-04-22 12:13:42.675799-04:00;2026-04-27 11:27:14.768747-04:00
